text,label
"GACOR77 bonus new member 150% klik link di bio",1
"DAFTAR SEKARANG juga di SLOT88, maxwin tiap hari!!!",1
"ZEUS29 gacor parah min wd 5jt langsung cair",1
"link alternatif resmi anti rungkad, bonus deposit 100%",1
"MANTAP168 main disini auto jp scatter hitam",1
"join sekarang member baru dapat freebet tanpa deposit",1
"WIN777 RTP tinggi malam ini, gas gaskeun",1
"casino online terpercaya, proses wd cepat 24 jam",1
"BOOYAH31 slot gacor hari ini banyak yang jp",1
"daftar via wa admin untuk dapat bonus rollingan",1
"OLYMPUS88 gampang menang, modal receh cuan jutaan",1
"link vip member hoki terus, klik bio sekarang",1
"PRAGMATIC55 server thailand gacor parah malam ini",1
"main slot online deposit 10rb dapat bonus 50rb",1
"AKUN PRO77 bocoran pola gacor hari ini",1
"Videonya keren banget kak, kontennya bermanfaat!",0
"Terima kasih atas penjelasannya, sangat membantu",0
"Wah baru tau info ini, makasih ya kak",0
"Lanjutkan terus konten edukasinya, semangat!",0
"Bagian penjelasan algoritma tadi agak cepat, bisa diulang?",0
"Suka banget sama editingnya, rapi sekali",0
"Request dong bahas topik machine learning selanjutnya",0
"Pertama! Notifikasi langsung nyala nih",0
"Kak boleh share source code nya?",0
"Penjelasan rumus integralnya jelas banget, makasih",0
"Background musiknya enak buat nemenin belajar",0
"Mantap kak tutorialnya, langsung aku praktekkan",0
"Apakah ada part 2 untuk video ini kak?",0
"Saya masih bingung di bagian subnetting, ada referensi lain?",0
"Salam dari Yogyakarta, semoga sukses terus kontennya",0
"Kualitas video 4K nya jernih banget",0
"WAIT, JANGAN TERTIPU DENGAN YANG LAIN BOSKU, ((RASTA55)) SEDANG BAGI BAGI BERKAH AMANAH DAN TERPERCAYA",1
"MAIN DI PAGO110 ITU TIPE YANG BISA NGASIH TERUS KETIK AJA DI GOOGLE......... PAGO110........ PAGO110 PAGO110",1
"BERANI COBA? PROCUAN178 JAWABANNYA! MODAL TIPIS, TAPI BISA DAPAT HASIL MANIS SEKALI DAPAT, SUSAH BERHENTI!!!! PILIH YANG TENGAH BOSS",1
"Super bagus #PROCUAN178 SEMOGA REZEKINYA NULAR BOSS PILIH YANG TENGAH BOSS",1
"BEST BEST #TARA27 full bahagia~~GACOR~~ sat set pokoknya",1
"SUPER BAGUS #TARA27 SEMOGA REJEKINYA NULAR BOS",1
"Nggak expect apa-apa pas main di #TATO83, eh malah WD beneran. Proses cepat, aman cair, pelayanan mantap, nggak PHP. Gas terus sampai maxwin",1
"Visualnya rapi dan enak dilihat TATO83 SEMAKIN SUKSES AMIN SUPER BAGUS #TATO83 SEMOGA REJEKINYA NULAR BOS Udah paling mantap pokoknya TATO83 bikin harian makin ceria Sumpah keren favorit banget TATO83 tiap malem",1
"#MACANHOKI789",1
"Ternyata main di PETIR94 itu bener-bener bikin beruntung!",1
"RTP GACOR 98% ADA DI TERBAIK67.. DATA VALID, BUKAN HOAX PLAYER PINTER UDAH MASUK DULUAN",1
"Aduh beneran deh, di PETIR94 itu pelayanannya ramah banget, bikin betah!",1
"BERANI COBA? PROCUAN178 JAWABANNYA! MODAL TIPIS, TAPI BISA DAPAT HASIL MANIS SEKALI DAPAT, SUSAH BERHENTI!!!!! PILIH YANG TENGAH BOSS",1
"Super bagus 700 #PROCUAN178 700 SEMOGA REZEKINYA NULAR BOSS PILIH YANG TENGAH BOSS",1
"Zui jiā 🌠JOKERWIN404🌠 zài gǔgé shàng xuǎnzé páimíng dì yī de. Zài zhèlǐ, shènglì bùjǐn jǐn shì mèngxiǎng, ér shì xiànshí 🥇",1
"BEST ➡️💸💵MACANHOKI789💵💸full bahagia~GACOR~ sat set pokoknya✨",1
"TATO83 selalu hadir di saat yang pas, TATO83 emang jagonya hibur gue dan selalu di kasih menang, pilih yang paling atas bg 🎯",1
"BEST ➡️💸💵MACANHOKI789💵💸full bahagia~GACOR~ sat set pokoknya✨",1
"#MACANHOKI789 🥇💰□💙🥇💰□💙 HAPPY 💙□💰🥇💙□💰🥇",1
"#MACANHOKI789 🥇💰□💙🥇💰□💙 HAPPY 💙□💰🥇💙□💰🥇",1
"LEK💫 VAR56💫 INI NGACOR!! 🔥🔥 WORTH IT BANGET BUAT MAIN SANTAIII!! 😍✨💯",1
"BEST 🌊⛩️ KOMBO66 ⛩️🌊 full senyumGACOR sat set pokoknya",1
"LEK💫 VAR56💫 INI NGACOR!! 🔥🔥 WORTH IT BANGET BUAT MAIN SANTAIII!! 😍✨💯",1
"😈 BERANI COBA? PROCUAN178 JAWABANNYA! MODAL TIPIS, TAPI BISA DAPAT HASIL MANIS💸 SEKALI DAPAT,SUSAH BERHENTI!!!!! PILIH YANG TENGAH BOSS 🔥🔥",1
"Super bagus 💯 #PROCUAN178💯 SEMOGA REZEKINYA NULAR BOSS🤑 PILIH YANG TENGAH BOSS 🔥",1
"BEST ➡️ BEST ➡️ 💯🔥 #TARA27🔥💯full bahagiaGACORsat set pokoknya",1
"SUPER BAGUS ☯️ #TARA27☯️ SEMOGA REJEKINYA NULAR BOSS 🌌🌌",1
"semenjak kejadian 700rupiah menjadi 45juteee di ROMWD606,disitulah gua sadar betapa penting nya",1
"Main di mana bang",0
"gue dikasih tiap hri sama ( PoraJP ) broku😜",1
"Barusan saya juga di kasih main di PoraJp🤭",1
"Sukses selalu PoraJp☺️",1
"Nggak expect apa-apa pas main di ... eh malah WD beneran. Proses cepat, aman, cair, pelayanan mantap, nggak PHP. Gas terus sampai maxwin 🚀🚀",1
"visualnya rapi dan enak dilihat 🌸 TATO83 SEMAKIN SUKSES AMIN... SUPER BAGUS ... #TATO83 SEMOGA REJEKINYA NULAR BOS Udah paling mantap pokoknya TATO83 bikin harian makin ceria 🔥 Sumpah keren favorit banget TATO83 tiap malem",1
"#MACANHOKI789 ...",1
"Ternyata main di PETIR94 itu bener-bener bikin beruntung! 🎮",1
"RTP GACOR 98% ADA DI ... DATA VALID, BUKAN HOAX 🔥 PLAYER PINTER UDAH MASUK DULUAN 🔥😋",1
"Gaspol banget tiap hari makin jatuh cinta di PETIR94🔥",1
"Aduh beneran deh, di 🍀PETIR94🍀 itu pelayanannya ramah banget, bikin betah! ✨",1
"SUPER BAGUS 🔱🔱 #SAGANA43 🔱🔱 SEMOGA REJEKINYA NULAR BOS ✨☀️🔱 PALING ATAS DI GOGLE 💯 KEREN🏆",1
"Maplay789 emng the real MVP, selalu bikin bahagia",1
"Maplay789✅ Alhamdulillah menang lagi ketua🥺😘",1
"MAIN DI 🔥MAPLAY.789🔥 ITU TIPE NGASIH TERUS !!",1
"Maplay789_ 🌊🌊💙 Good Bless 🌊🌊💙🖤",1
"Alhamdulillah menang lagi derr Maplay789 💚🥺😘",1
"#MACANHOKI789 🥇💰💙 HAPPY",1
"#MACANHOKI789 🥇💰💙 HAVE FUN",1
"#MACANHOKI789 🥇💰💙",1
"MASHOKI_ 🧡💚💞 Pure Joy 🤎🖤💛",1
"MASHOKI_ 💙💚💘 Believe In You 💘💓",1
"🥰🦄MAS+HOKI",1
"Andalann kita kita nih @ꭑαρᥣα𝗒789",1
"@ꭑαρᥣα𝗒789 Semangatt truss pejuangg 🔥",1
"Aura main character-nya dapet bgt.",0
"🤍❣️MAS.HOKI",1
